game,index,file,music_no,my_title,ref_title,title_same
th07,8,th07_08.wav,8,天空の花の都,天空の花の都,1
th07,9,th07_09.wav,9,幽霊楽団　～ Phantom Ensemble,幽霊楽団　～ Phantom Ensemble,1
th07,10,th07_10.wav,10,東方妖々夢　～ Ancient Temple,東方妖々夢　～ Ancient Temple,1
th07,11,th07_11.wav,11,広有射怪鳥事　～ Till When?,広有射怪鳥事　～ Till When?,1
th07,12,th07_12.wav,12,アルティメットトゥルース,アルティメットトゥルース,1
th07,13,th07_13.wav,13,幽雅に咲かせ、墨染の桜　～ Border of Life,幽雅に咲かせ、墨染の桜　～ Border of Life,1
th07,14,th07_13b.wav,14,ボーダーオブライフ,ボーダーオブライフ,1
th07,15,th07_14.wav,19,春風の夢,春風の夢,1
th07,16,th07_15.wav,20,さくらさくら　～ Japanize Dream...,さくらさくら　～ Japanize Dream...,1
th07,17,th07_16.wav,15,妖々跋扈,妖々跋扈,1
th07,18,th07_17.wav,16,少女幻葬　～ Necro-Fantasy,少女幻葬　～ Necro-Fantasy,1
th07,19,th07_18.wav,17,妖々跋扈　～ Who done it!,妖々跋扈　～ Who done it!,1
th07,20,th07_19.wav,18,ネクロファンタジア,ネクロファンタジア,1
th08,1,th08_01.wav,1,永夜抄　～ Eastern Night.,永夜抄　～ Eastern Night,0
th08,2,th08_00.wav,2,幻視の夜　～ Ghostly Eyes,幻視の夜　～ Ghostly Eyes,1
th08,3,th08_03.wav,3,蠢々秋月　～ Mooned Insect,蠢々秋月　～ Mooned Insect,1
th08,4,th08_04.wav,4,夜雀の歌声　～ Night Bird,夜雀の歌声　～ Night Bird,1
th08,5,th08_05.wav,5,もう歌しか聞こえない,もう歌しか聞こえない,1
th08,6,th08_06.wav,6,懐かしき東方の血　～ Old World,懐かしき東方の血　～ Old World,1
th08,7,th08_07.wav,7,プレインエイジア,プレインエイジア,1
th08,8,th08_08.wav,8,永夜の報い　～ Imperishable Night,永夜の報い　～ Imperishable Night,1
th08,9,th08_09.wav,9,少女綺想曲　～ Dream Battle,少女綺想曲　～ Dream Battle,1
th08,10,th08_10.wav,10,恋色マスタースパーク,恋色マスタースパーク,1
th08,11,th08_11.wav,11,シンデレラケージ　～ Kagome-Kagome,シンデレラケージ　～ Kagome-Kagome,1
th08,12,th08_12.wav,12,狂気の瞳　～ Invisible Full Moon,狂気の瞳　～ Invisible Full Moon,1
th08,13,th08_13.wav,13,ヴォヤージュ1969,ヴォヤージュ1969,1
th08,14,th08_14.wav,14,千年幻想郷　～ History of the Moon,千年幻想郷　～ History of the Moon,1
th08,15,th08_13b.wav,16,ヴォヤージュ1970,ヴォヤージュ1970,1
th08,16,th08_15.wav,15,竹取飛翔　～ Lunatic Princess,竹取飛翔　～ Lunatic Princess,1
th08,17,th08_16.wav,19,月見草,月見草,1
th08,18,th08_17.wav,20,Eternal Dream　～ 幽玄の槭樹,Eternal Dream　～ 幽玄の槭樹,1
th08,19,th08_18.wav,17,エクステンドアッシュ　～ 蓬莱人,エクステンドアッシュ　～ 蓬莱人,1
th08,20,th08_19.wav,18,月まで届け、不死の煙,月まで届け、不死の煙,1
th08,21,th08_20.wav,21,東方妖怪小町,東方妖怪小町,1
th09,1,th09_00.wav,1,花映塚　～ Higan Retour,花映塚　～ Higan Retour,1
th09,2,th09_00b.wav,3,オリエンタルダークフライト,オリエンタルダークフライト,1
th09,3,th09_00c.wav,16,花の映る塚,花の映る塚,1
th09,4,th09_01.wav,2,春色小径　～ Colorful Path,春色小径　～ Colorful Path,1
th09,5,th09_02.wav,4,フラワリングナイト,フラワリングナイト,1
th09,6,th09_05.wav,7,おてんば恋娘の冒険,おてんば恋娘の冒険,1
th09,7,th09_07.wav,9,もう歌しか聞こえない　～ Flower Mix,もう歌しか聞こえない　～ Flower Mix,1
th09,8,th07_09.wav,8,幽霊楽団　～ Phantom Ensemble,幽霊楽団　～ Phantom Ensemble,1
th09,9,th07_10_b.wav,5,東方妖々夢　～ Ancient Temple,東方妖々夢　～ Ancient Temple,1
th09,10,th09_08_2.wav,11,風神少女   (Short Version),風神少女　(Short Version),1
th09,11,th09_09.wav,14,彼岸帰航　～ Riverside View,彼岸帰航　～ Riverside View,1
th09,12,th08_12.wav,6,狂気の瞳　～ Invisible Full Moon,狂気の瞳　～ Invisible Full Moon,1
th09,13,th09_10.wav,10,お宇佐さまの素い幡,お宇佐さまの素い幡,1
th09,14,th09_11.wav,15,六十年目の東方裁判　～ Fate of Sixty Years,六十年目の東方裁判　～ Fate of Sixty Years,1
th09,15,th09_12.wav,12,ポイズンボディ　～ Forsaken Doll,ポイズンボディ　～ Forsaken Doll,1
th09,16,th09_13.wav,13,今昔幻想郷　～ Flower Land,今昔幻想郷　～ Flower Land,1
th09,17,th09_14.wav,18,花は幻想のままに,花は幻想のままに,1
th09,18,th09_15.wav,17,此岸の塚,此岸の塚,1
th09,19,th09_17.wav,19,魂の花　～ Another Dream...,魂の花　～ Another Dream...,1
th095,1,th095_00.wav,1,天狗の手帖　～ Mysterious Note,天狗の手帖　～ Mysterious Note,1
th095,2,th095_01.wav,2,風の循環　～ Wind Tour,風の循環　～ Wind Tour,1
th095,3,th095_02.wav,3,天狗が見ている　～ Black Eyes,天狗が見ている　～ Black Eyes,1
th095,4,th095_03.wav,4,東の国の眠らない夜,東の国の眠らない夜,1
th095,5,th095_04.wav,5,レトロスペクティブ京都,レトロスペクティブ京都,1
th095,6,th09_08_2.wav,6,風神少女,風神少女,1
th10,1,th10_02.wav,1,封印されし神々,封印されし神々,1
th10,2,th10_00.wav,2,人恋し神様　～ Romantic Fall,人恋し神様　～ Romantic Fall,1
th10,3,th10_01.wav,3,稲田姫様に叱られるから,稲田姫様に叱られるから,1
th10,4,th10_03.wav,4,厄神様の通り道　～ Dark Road,厄神様の通り道　～ Dark Road,1
th10,5,th10_04.wav,5,運命のダークサイド,運命のダークサイド,1
th10,6,th10_05.wav,6,神々が恋した幻想郷,神々が恋した幻想郷,1
th10,7,th10_06.wav,7,芥川龍之介の河童　～ Candid Friend,芥川龍之介の河童　～ Candid Friend,1
th10,8,th10_07.wav,8,フォールオブフォール　～ 秋めく滝,フォールオブフォール　～ 秋めく滝,1
th10,9,th10_08.wav,9,妖怪の山　～ Mysterious Mountain,妖怪の山　～ Mysterious Mountain,1
th10,10,th10_09.wav,10,少女が見た日本の原風景,少女が見た日本の原風景,1
th10,11,th10_10.wav,11,信仰は儚き人間の為に,信仰は儚き人間の為に,1
th10,12,th10_11.wav,12,御柱の墓場　～ Grave of Being,御柱の墓場　～ Grave of Being,1
th10,13,th10_12.wav,13,神さびた古戦場　～ Suwa Foughten Field,神さびた古戦場　～ Suwa Foughten Field,1
th10,14,th10_15.wav,14,明日ハレの日、ケの昨日,明日ハレの日、ケの昨日,1
th10,15,th10_16.wav,15,ネイティブフェイス,ネイティブフェイス,1
th10,16,th10_13.wav,16,麓の神社,麓の神社,1
th10,17,th10_14.wav,17,神は恵みの雨を降らす　～ Sylphid Dream,神は恵みの雨を降らす　～ Sylphid Dream,1
th10,18,th10_17.wav,18,プレイヤーズスコア,プレイヤーズスコア,1
th11,1,th11_00.wav,1,地霊達の起床,地霊達の起床,1
th11,2,th11_01.wav,2,暗闇の風穴,暗闇の風穴,1
th11,3,th11_02.wav,3,封じられた妖怪　～ Lost Place,封じられた妖怪　～ Lost Place,1
th11,4,th11_03.wav,4,渡る者の途絶えた橋,渡る者の途絶えた橋,1
th11,5,th11_05.wav,5,緑眼のジェラシー,緑眼のジェラシー,1
th11,6,th11_06.wav,6,旧地獄街道を行く,旧地獄街道を行く,1
th11,7,th11_07.wav,7,華のさかづき大江山,華のさかづき大江山,1
th11,8,th11_08.wav,8,ハートフェルトファンシー,ハートフェルトファンシー,1
th11,9,th11_10.wav,9,少女さとり　～ 3rd eye,少女さとり　～ 3rd eye,1
th11,10,th11_12.wav,10,廃獄ララバイ,廃獄ララバイ,1
th11,11,th11_13.wav,11,死体旅行　～ Be of good cheer!,死体旅行　～ Be of good cheer!,1
th11,12,th11_14.wav,12,業火マントル,業火マントル,1
th11,13,th11_16.wav,13,霊知の太陽信仰　～ Nuclear Fusion,霊知の太陽信仰　～ Nuclear Fusion,1
th11,14,th11_15.wav,14,ラストリモート,ラストリモート,1
th11,15,th11_17.wav,15,ハルトマンの妖怪少女,ハルトマンの妖怪少女,1
th11,16,th11_18.wav,16,地霊達の帰宅,地霊達の帰宅,1
th11,17,th11_19.wav,17,エネルギー黎明 ～ Future Dream...,エネルギー黎明　～ Future Dream...,1
th11,18,th10_17.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th12,1,th12_01.wav,1,青空の影,青空の影,1
th12,2,th12_00.wav,2,春の湊に,春の湊に,1
th12,3,th12_02.wav,3,小さな小さな賢将,小さな小さな賢将,1
th12,4,th12_04.wav,4,閉ざせし雲の通い路,閉ざせし雲の通い路,1
th12,5,th12_05.wav,5,万年置き傘にご注意を,万年置き傘にご注意を,1
th12,6,th12_07.wav,6,スカイルーイン,スカイルーイン,1
th12,7,th12_08.wav,7,時代親父とハイカラ少女,時代親父とハイカラ少女,1
th12,8,th12_09.wav,8,幽霊客船の時空を越えた旅,幽霊客船の時空を越えた旅,1
th12,9,th12_10.wav,9,キャプテン・ムラサ,キャプテン・ムラサ,1
th12,10,th12_13.wav,10,魔界地方都市エソテリア,魔界地方都市エソテリア,1
th12,11,th12_14.wav,11,虎柄の毘沙門天,虎柄の毘沙門天,1
th12,12,th12_16.wav,12,法界の火,法界の火,1
th12,13,th12_17.wav,13,感情の摩天楼　～ Cosmic Mind,感情の摩天楼　～ Cosmic Mind,1
th12,14,th12_18.wav,14,夜空のユーフォーロマンス,夜空のユーフォーロマンス,1
th12,15,th12_19.wav,15,平安のエイリアン,平安のエイリアン,1
th12,16,th12_20.wav,16,妖怪寺,妖怪寺,1
th12,17,th12_21.wav,17,空の帰り道　～ Sky Dream,空の帰り道　～ Sky Dream,1
th12,18,th10_17.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th125,1,th125_00.wav,1,ニュースハウンド,ニュースハウンド,1
th125,2,th125_01.wav,2,あなたの町の怪事件,あなたの町の怪事件,1
th125,3,th125_03.wav,3,妖怪モダンコロニー,妖怪モダンコロニー,1
th125,4,th125_04.wav,4,ネメシスの要塞,ネメシスの要塞,1
th125,5,th125_05.wav,5,無間の鐘　～ Infinite Nightmare,無間の鐘　～ Infinite Nightmare,1
th125,6,th125_06.wav,6,妖怪の山　～ Mysterious Mountain,妖怪の山　～ Mysterious Mountain,1
th125,7,th125_07.wav,,はたてアンロック,はたてアンロック,1
th128,1,th128_07.wav,1,春の氷精,春の氷精,1
th128,2,th128_00.wav,2,可愛い大戦争のリフレーン,可愛い大戦争のリフレーン,1
th128,3,th128_02.wav,3,いたずらに命をかけて,いたずらに命をかけて,1
th128,4,th128_01.wav,4,年中夢中の好奇心,年中夢中の好奇心,1
th128,5,th128_05.wav,5,真夜中のフェアリーダンス,真夜中のフェアリーダンス,1
th128,6,th128_06.wav,6,妖精大戦争　～ Fairy Wars,妖精大戦争　～ Fairy Wars,1
th128,7,th128_09.wav,9,春の氷精　- 静 -,春の氷精　- 静 -,1
th128,8,th128_10.wav,7,ルーズレイン,ルーズレイン,1
th128,9,th128_11.wav,8,メイガスナイト,メイガスナイト,1
th128,10,th128_08.wav,10,プレイヤーズスコア,プレイヤーズスコア,1
th13,1,th13_00.wav,1,欲深き霊魂,欲深き霊魂,1
th13,2,th13_01.wav,2,死霊の夜桜,死霊の夜桜,1
th13,3,th13_01b.wav,,死霊の夜桜（霊界トランス）,死霊の夜桜 (霊界バージョン),0
th13,4,th13_03.wav,3,ゴーストリード,ゴーストリード,1
th13,5,th13_03b.wav,,ゴーストリード（霊界トランス）,ゴーストリード (霊界バージョン),0
th13,6,th13_04.wav,4,妖怪寺へようこそ,妖怪寺へようこそ,1
th13,7,th13_04b.wav,,妖怪寺へようこそ（霊界トランス）,妖怪寺へようこそ (霊界バージョン),0
th13,8,th13_06.wav,5,門前の妖怪小娘,門前の妖怪小娘,1
th13,9,th13_06b.wav,,門前の妖怪小娘（霊界トランス）,門前の妖怪小娘 (霊界バージョン),0
th13,10,th13_07.wav,6,素敵な墓場で暮しましょ,素敵な墓場で暮しましょ,1
th13,11,th13_07b.wav,,素敵な墓場で暮しましょ（霊界トランス）,素敵な墓場で暮しましょ (霊界バージョン),0
th13,12,th13_08.wav,7,リジッドパラダイス,リジッドパラダイス,1
th13,13,th13_08b.wav,,リジッドパラダイス（霊界トランス）,リジッドパラダイス (霊界バージョン),0
th13,14,th13_10.wav,8,デザイアドライブ,デザイアドライブ,1
th13,15,th13_10b.wav,,デザイアドライブ（霊界トランス）,デザイアドライブ (霊界バージョン),0
th13,16,th13_11.wav,9,古きユアンシェン,古きユアンシェン,1
th13,17,th13_11b.wav,,古きユアンシェン（霊界トランス）,古きユアンシェン (霊界バージョン),0
th13,18,th13_12.wav,10,夢殿大祀廟,夢殿大祀廟,1
th13,19,th13_12b.wav,,夢殿大祀廟（霊界トランス）,夢殿大祀廟 (霊界バージョン),0
th13,20,th13_15.wav,11,大神神話伝,大神神話伝,1
th13,21,th13_15b.wav,,大神神話伝（霊界トランス）,大神神話伝 (霊界バージョン),0
th13,22,th13_16.wav,12,小さな欲望の星空,小さな欲望の星空,1
th13,23,th13_16b.wav,,小さな欲望の星空（霊界トランス）,小さな欲望の星空 (霊界バージョン),0
th13,24,th13_17.wav,13,聖徳伝説　～ True Administrator,聖徳伝説　～ True Administrator,1
th13,25,th13_18.wav,16,神社の新しい風,神社の新しい風,1
th13,26,th13_19.wav,17,デザイアドリーム,デザイアドリーム,1
th13,27,th13_20.wav,14,妖怪裏参道,妖怪裏参道,1
th13,28,th13_20b.wav,,妖怪裏参道（霊界トランス）,妖怪裏参道 (霊界バージョン),0
th13,29,th13_22.wav,15,佐渡の二ッ岩,佐渡の二ッ岩,1
th13,30,th13_22b.wav,,佐渡の二ッ岩（霊界トランス）,佐渡の二ッ岩 (霊界バージョン),0
th13,31,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th14,1,th14_01.wav,1,不思議なお祓い棒,不思議なお祓い棒,1
th14,2,th14_02.wav,2,ミストレイク,ミストレイク,1
th14,3,th14_03.wav,3,秘境のマーメイド,秘境のマーメイド,1
th14,4,th14_04.wav,4,運河を行き交う人妖,運河を行き交う人妖,1
th14,5,th14_05.wav,5,柳の下のデュラハン,柳の下のデュラハン,1
th14,6,th14_06.wav,6,満月の竹林,満月の竹林,1
th14,7,th14_07.wav,7,孤独なウェアウルフ,孤独なウェアウルフ,1
th14,8,th14_09.wav,8,マジカルストーム,マジカルストーム,1
th14,9,th14_10.wav,9,幻想浄瑠璃,幻想浄瑠璃,1
th14,10,th14_11.wav,10,空中に沈む輝針城,空中に沈む輝針城,1
th14,11,th14_12.wav,11,リバースイデオロギー,リバースイデオロギー,1
th14,12,th14_14.wav,12,針小棒大の天守閣,針小棒大の天守閣,1
th14,13,th14_15.wav,13,輝く針の小人族　～ Little Princess,輝く針の小人族　～ Little Princess,1
th14,14,th14_16.wav,16,小槌の魔力,小槌の魔力,1
th14,15,th14_17.wav,17,不思議な不思議な道具達,不思議な不思議な道具達,1
th14,16,th14_18.wav,14,魔力の雷雲,魔力の雷雲,1
th14,17,th14_19.wav,15,始原のビート　～ Pristine Beat,始原のビート　～ Pristine Beat,1
th14,18,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th143,1,th143_01.wav,1,反則の狼煙を上げろ,反則の狼煙を上げろ,1
th143,2,th143_02.wav,2,不可能弾幕には反則を,不可能弾幕には反則を,1
th143,3,th143_05.wav,3,ミッドナイトスペルカード,ミッドナイトスペルカード,1
th143,4,th143_06.wav,4,ロマンチック逃飛行,ロマンチック逃飛行,1
th143,5,th143_07.wav,5,永遠の三日天下,永遠の三日天下,1
th143,6,th14_03.wav,6,秘境のマーメイド,秘境のマーメイド,1
th143,7,th14_12.wav,7,リバースイデオロギー,リバースイデオロギー,1
th143,8,th14_10.wav,8,幻想浄瑠璃,幻想浄瑠璃,1
th143,9,th125_06.wav,9,妖怪の山　～ Mysterious Mountain,妖怪の山　～ Mysterious Mountain,1
th143,10,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th15,1,th15_01.wav,1,宇宙巫女現る,宇宙巫女現る,1
th15,2,th15_02.wav,2,忘れがたき、よすがの緑,忘れがたき、よすがの緑,1
th15,3,th15_04.wav,3,兎は舞い降りた,兎は舞い降りた,1
th15,4,th15_03.wav,4,湖は浄めの月光を映して,湖は浄めの月光を映して,1
th15,5,th15_05.wav,5,九月のパンプキン,九月のパンプキン,1
th15,6,th15_06.wav,6,宇宙を飛ぶ不思議な巫女,宇宙を飛ぶ不思議な巫女,1
th15,7,th15_07.wav,7,永遠の春夢,永遠の春夢,1
th15,8,th15_08.wav,8,凍り付いた永遠の都,凍り付いた永遠の都,1
th15,9,th15_09.wav,9,逆転するホイールオブフォーチュン,逆転するホイールオブフォーチュン,1
th15,10,th15_10.wav,10,遥か３８万キロのボヤージュ,遥か38万キロのボヤージュ,1
th15,11,th15_11.wav,11,星条旗のピエロ,星条旗のピエロ,1
th15,12,th15_12.wav,12,故郷の星が映る海,故郷の星が映る海,1
th15,13,th15_13.wav,13,ピュアヒューリーズ　～ 心の在処,ピュアヒューリーズ　～ 心の在処,1
th15,14,th15_16.wav,14,見た事も無い悪夢の世界,見た事も無い悪夢の世界,1
th15,15,th15_17.wav,15,パンデモニックプラネット,パンデモニックプラネット,1
th15,16,th15_14.wav,16,神社から見える月,神社から見える月,1
th15,17,th15_15.wav,17,宇宙巫女帰還する,宇宙巫女帰還する,1
th15,18,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th16,1,th16_01.wav,1,桜舞い散る天空,桜舞い散る天空,1
th16,2,th16_02.wav,2,希望の星は青霄に昇る,希望の星は青霄に昇る,1
th16,3,th16_03.wav,3,真夏の妖精の夢,真夏の妖精の夢,1
th16,4,th16_04.wav,4,色無き風は妖怪の山に,色無き風は妖怪の山に,1
th16,5,th16_05.wav,5,山奥のエンカウンター,山奥のエンカウンター,1
th16,6,th16_06.wav,6,桜色の海を泳いで,桜色の海を泳いで,1
th16,7,th16_07.wav,7,一対の神獣,一対の神獣,1
th16,8,th16_08.wav,8,幻想のホワイトトラベラー,幻想のホワイトトラベラー,1
th16,9,th16_09.wav,9,魔法の笠地蔵,魔法の笠地蔵,1
th16,10,th16_10.wav,10,禁断の扉の向こうは、この世かあの世か,禁断の扉の向こうは、この世かあの世か,1
th16,11,th16_11.wav,11,クレイジーバックダンサーズ,クレイジーバックダンサーズ,1
th16,12,th16_13.wav,12,イントゥ・バックドア,イントゥ・バックドア,1
th16,13,th16_12.wav,13,秘匿されたフォーシーズンズ,秘匿されたフォーシーズンズ,1
th16,14,th16_14.wav,16,不自然な自然,不自然な自然,1
th16,15,th16_15.wav,17,白い旅人,白い旅人,1
th16,16,th16_16.wav,14,もうドアには入れない,もうドアには入れない,1
th16,17,th16_17.wav,15,秘神マターラ　～ Hidden Star in All Seasons.,秘神マターラ　～ Hidden Star in All Seasons.,1
th16,18,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th165,1,th165_01.wav,1,悪夢日記,悪夢日記,1
th165,2,th165_02.wav,5,バー・オールドアダム,バー・オールドアダム,1
th165,3,th165_04.wav,2,ルーシッドドリーマー,ルーシッドドリーマー,1
th165,4,th165_05.wav,6,燕石博物誌が連れてきた闇,燕石博物誌が連れてきた闇,1
th165,5,th165_06.wav,3,ルナティックドリーマー,ルナティックドリーマー,1
th165,6,th165_07.wav,4,ナイトメアダイアリー,ナイトメアダイアリー,1
th165,7,th15_07.wav,7,永遠の春夢,永遠の春夢,1
th165,8,th16_12.wav,8,秘匿されたフォーシーズンズ,秘匿されたフォーシーズンズ,1
th17,1,th17_01.wav,1,物言わぬ獣の霊,物言わぬ獣の霊,1
th17,2,th17_03.wav,2,地蔵だけが知る哀嘆,地蔵だけが知る哀嘆,1
th17,3,th17_04.wav,3,ジェリーストーン,ジェリーストーン,1
th17,4,th17_05.wav,4,ロストリバー,ロストリバー,1
th17,5,th17_06.wav,5,石の赤子と水中の牛,石の赤子と水中の牛,1
th17,6,th17_07.wav,6,不朽の曼珠沙華,不朽の曼珠沙華,1
th17,7,th17_08.wav,7,セラフィックチキン,セラフィックチキン,1
th17,8,th17_09.wav,8,アンロケイテッドヘル,アンロケイテッドヘル,1
th17,9,th17_10.wav,9,トータスドラゴン　～ 幸運と不運,トータスドラゴン　～　幸運と不運,1
th17,10,th17_11.wav,10,ビーストメトロポリス,ビーストメトロポリス,1
th17,11,th17_12.wav,11,セラミックスの杖刀人,セラミックスの杖刀人,1
th17,12,th17_14.wav,12,エレクトリックヘリテージ,エレクトリックヘリテージ,1
th17,13,th17_13.wav,13,偶像に世界を委ねて　～ Idoratrize World,偶像に世界を委ねて　～ Idoratrize World,1
th17,14,th17_17.wav,14,輝かしき弱肉強食の掟,輝かしき弱肉強食の掟,1
th17,15,th17_18.wav,15,聖徳太子のペガサス　～ Dark Pegasus,聖徳太子のペガサス　～ Dark Pegasus,1
th17,16,th17_15.wav,16,畜生達の休息,畜生達の休息,1
th17,17,th17_16.wav,17,地下からの帰還,地下からの帰還,1
th17,18,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th18,1,th18_01.wav,1,虹の架かる幻想郷,虹の架かる幻想郷,1
th18,2,th18_03.wav,2,妖異達の通り雨,妖異達の通り雨,1
th18,3,th18_04.wav,3,大吉キトゥン,大吉キトゥン,1
th18,4,th18_05.wav,4,深緑に隠された断崖,深緑に隠された断崖,1
th18,5,th18_06.wav,5,バンデットリィテクノロジー,バンデットリィテクノロジー,1
th18,6,th18_07.wav,6,駒草咲くパーペチュアルスノー,駒草咲くパーペチュアルスノー,1
th18,7,th18_08.wav,7,スモーキングドラゴン,スモーキングドラゴン,1
th18,8,th18_09.wav,8,廃れゆく産業遺構,廃れゆく産業遺構,1
th18,9,th18_10.wav,9,神代鉱石,神代鉱石,1
th18,10,th18_11.wav,10,待ちわびた逢魔が時,待ちわびた逢魔が時,1
th18,11,th18_12.wav,11,星降る天魔の山,星降る天魔の山,1
th18,12,th18_13.wav,12,ルナレインボー,ルナレインボー,1
th18,13,th18_14.wav,13,あの賑やかな市場は今どこに　～ Immemorial Marketeers,あの賑やかな市場は今どこに　～ Immemorial Marketeers,1
th18,14,th18_15.wav,16,嵐の後の日曜日,嵐の後の日曜日,1
th18,15,th18_16.wav,17,虹色の世界,虹色の世界,1
th18,16,th18_17.wav,14,幻想の地下大線路網,幻想の地下大線路網,1
th18,17,th18_18.wav,15,龍王殺しのプリンセス,龍王殺しのプリンセス,1
th18,18,th128_08.wav,,プレイヤーズスコア,プレイヤーズスコア,1
th185,1,th185_01.wav,1,コレクターの憂鬱な午後,コレクターの憂鬱な午後,1
th185,2,th185_02.wav,3,妖怪フックオン,妖怪フックオン,1
th185,3,th185_03.wav,2,ワクワクする見慣れた幻想郷,ワクワクする見慣れた幻想郷,1
th185,4,th185_04.wav,4,闇市場は場所を選ばない,闇市場は場所を選ばない,1
th185,5,th185_05.wav,5,弾幕を持て、バレットフィリア達よ,弾幕を持て、パレッドフィリア達よ,0
th185,6,th185_06.wav,6,１００回目のブラックマーケット,100回目のブラックマーケット,1
th185,7,th18_13.wav,8,ルナレインボー,ルナレインボー,1
th185,8,th18_14.wav,9,あの賑やかな市場は今どこに　～ Immemorial Marketeers,あの賑やかな市場は今どこに　～ Immemorial Marketeers,1
th185,9,th18_16.wav,10,虹色の世界,虹色の世界,1
th185,10,th165_06.wav,7,ルナティックドリーマー,ルナティックドリマー,0
th19,1,th19_01.wav,1,獣の知性,獣の知性,1
th19,2,th19_02.wav,2,世界は可愛く出来ている,世界は可愛く出来ている,1
th19,3,th19_03.wav,3,魔獣スクランブル,魔獣スクランブル,1
th19,4,th19_04.wav,13,春の湊に,春の湊に,1
th19,5,th19_05.wav,14,忘れがたき、よすがの緑,忘れがたき、よすがの緑,1
th19,6,th19_06.wav,12,一対の神獣,一対の神獣,1
th19,7,th19_07.wav,4,鬼は悠久の山に,鬼は悠久の山に,1
th19,8,th19_08.wav,5,タイニーシャングリラ,タイニーシャングリラ,1
th19,9,th19_09.wav,6,勇敢で有閑な妖獣,勇敢で有閑な妖獣,1
th19,10,th19_10.wav,7,吸血怪獣チュパカブラ,吸血怪獣チュパカブラ,1
th19,11,th19_11.wav,8,振り向かない黄泉の道,振り向かない黄泉の道,1
th19,12,th19_12.wav,9,逸脱者達の無礙光　～ Kingdom of Nothingness.,逸脱者達の無礙光　～ Kingdam of Nothingness.,0
th19,13,th19_13.wav,10,少女が見た日本の原風景,少女が見た日本の原風景,1
th19,14,th19_14.wav,11,妖々跋扈　～ Who done it!,妖々跋扈　～ Who done it!,1
th19,15,th19_15.wav,15,死体旅行　～ Be of good cheer!,死体旅行　～ Be of good cheer!,1
th19,16,th19_16.wav,16,待ちわびた逢魔が時,待ちわびた逢魔が時,1
th19,17,th19_17.wav,17,佐渡の二ッ岩,佐渡の二ッ岩,1
th19,18,th19_18.wav,18,トータスドラゴン　～ 幸運と不運,トータスドラゴン　～ 幸運と不運,1
th19,19,th19_19.wav,19,聖徳太子のペガサス　～ Dark Pegasus,聖徳太子のペガサス　～ Dark Pegasus,1
th19,20,th19_20.wav,20,強欲な獣のメメント,強欲な獣のメメント,1
th19,21,th19_21.wav,21,獣王達の休息,獣王達の休息,1
th19,22,th19_22.wav,22,獣に知性はあるか,獣に知性はあるか,1
