order,wiki_section,title,file,composer,theme,loop,loop_start_sec,loop_end_sec,duration_sec,scope
26,Palace of the Earth Spirits theme,地底に咲く薔薇,bgst08.ogg,U2 Akiyama,,Y,7.7791,98.7469,106.46,music_room
27,Youkai Tanuki Forest theme,深緑の狸森にて,bgst09.ogg,U2 Akiyama,,Y,7.7244,100.7679,114.68,music_room
28,Human Village theme,心綺楼演舞,bgst10.ogg,U2 Akiyama,,Y,3.5672,93.1126,104.23,music_room
29,Bamboo Forest of the Lost theme,不滅のレッドソウル,bgst11.ogg,U2 Akiyama,,Y,15.5794,111.5793,116.81,music_room
30,Shining Needle Castle theme,落日に映える逆さ城,bgst12.ogg,U2 Akiyama,,Y,3.6851,94.9091,104.9,music_room
31,Kasen's Hermit World theme,千の試練を超えて,bgst13.ogg,U2 Akiyama,,Y,26.0172,116.8279,123.49,music_room
32,Outside World theme,夢世界フォークロア,bgst14.ogg,U2 Akiyama,,Y,10.8239,111.3644,123.92,music_room
33,Eientei theme,永遠に続く回廊,bgst15.ogg,U2 Akiyama,,Y,17.5138,107.5138,110.01,music_room
34,Dream World theme,スリープシープパレード,bgst16.ogg,U2 Akiyama,,Y,1.7538,90.4495,106.09,music_room
35,Heaven theme,至る有頂天,bgst17.ogg,U2 Akiyama,,Y,13.0428,103.4777,111.31,music_room
36,"Yukari Yakumo's 2nd theme, Shrine During Incident theme",憑坐は夢と現の間に　～ Necro-Fantasia,midboss.ogg,ZUN,,Y,11.7041,148.4431,158.73,music_room
37,Joon Yorigami & Shion Yorigami's theme,今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.,lastboss.ogg,ZUN,,Y,17.0707,250.5195,258.27,music_room
38,Story Mode Battle theme,オカルトアトラクト,145st01.ogg,U2 Akiyama,,Y,5.5281,105.6427,116.25,music_room
39,Story Mode Battle theme,ネオ竹林インフレイム,145st02.ogg,U2 Akiyama,,Y,2.6419,94.5169,107.62,music_room
40,Story Mode Battle theme,億万劫の鐘,145st03.ogg,U2 Akiyama,,Y,5.4937,105.4936,123.75,music_room
41,Final Boss theme,アンノウンX　～ Occultly Madness,145st04.ogg,ZUN,,Y,43.6395,197.7305,208.64,music_room
42,Story theme 1,憑依投合,story01.ogg,U2 Akiyama,,Y,4.7171,65.8935,71.19,music_room
43,Story theme 2,連帯責人,story02.ogg,U2 Akiyama,,Y,8.6938,72.4438,82.74,music_room
44,Story theme 3,合縁奇縁,story03.ogg,U2 Akiyama,,Y,3.0042,65.4042,73.21,music_room
45,Story theme 4,異心同体,story04.ogg,U2 Akiyama,,Y,1.8853,65.6353,71.89,music_room
46,Story theme 5,壮言大語,story05.ogg,U2 Akiyama,,Y,3.6146,66.0145,82.82,music_room
47,Story theme 6,知略縦横,story06.ogg,U2 Akiyama,,Y,4.3517,67.3516,70.8,music_room
48,Story theme 7,意気揚々,story07.ogg,U2 Akiyama,,Y,4.3432,72.3432,74.78,music_room
49,Story theme 8,開演間近,story08.ogg,U2 Akiyama,,Y,7.365,69.1831,80.08,music_room
50,Story theme 9,天衣無縫　～ Yellow Lily,story09.ogg,U2 Akiyama,,Y,10.5381,74.538,86.01,music_room
51,Ending theme,行雲流水,ending.ogg,U2 Akiyama,,Y,5.3401,75.2627,80.63,music_room
52,Title theme,異変の種子,th155op1.ogg,U2 Akiyama,,Y,12.0083,87.0083,93.01,music_room
53,Title theme 2,疑惑の芽生え,th155op2.ogg,U2 Akiyama,,Y,12.0094,87.0094,93.01,music_room
54,Staff Roll theme 1,未だ蕾む憑依華,staffroll0.ogg,U2 Akiyama,,N,,,86.47,music_room
55,Title theme 3,真相へ繋がる枝葉,th155op3.ogg,U2 Akiyama,,Y,12.0092,87.0092,93.01,music_room
56,Staff Roll theme 2,咲き誇る憑依華,staffroll1.ogg,U2 Akiyama,,N,,,101.49,music_room
57,Title theme 4,舞い散る憑依華吹雪,th155op4.ogg,U2 Akiyama,,Y,12.0096,87.0096,93.01,music_room
58,Staff Roll theme 3,悠久の蒸気機関,staffroll2.ogg,Kou Ogata (k-waves LAB),,N,,,97.93,music_room
