game,file,title,auth_start,auth_end,idx_start,idx_end,d_start(样本),d_end(样本),d_start(ms),d_end(ms)
th075,57.wav,Intermezzo,151283,1328651,151283,1328651,0,0,0.0,0.0
th075,58.wav,あゆのかぜ,69379,1719241,69379,1719241,0,0,0.0,0.0
th075,67.wav,森閑,77223,1841301,77223,1841301,0,0,0.0,0.0
th075,62.wav,仰空,159330,1852815,159330,1852815,0,0,0.0,0.0
th075,59.wav,幽境,46779,1587758,46779,1587758,0,0,0.0,0.0
th075,68.wav,珍客,132192,2249057,132192,2249057,0,0,0.0,0.0
th075,60.wav,紅夜,69502,1581780,69502,1581780,0,0,0.0,0.0
th075,61.wav,戦迅,157221,1764973,157221,1764973,0,0,0.0,0.0
th075,65.wav,禍機,176934,1588177,176934,1588177,0,0,0.0,0.0
th075,63.wav,砕月,128210,2112805,128210,2112805,0,0,0.0,0.0
th105,op.ogg,緋想天,1253274,5868088,1253274,5868088,0,0,0.0,0.0
th105,ta00.ogg,日常坐臥,612434,2964470,612434,2964470,0,0,0.0,0.0
th105,st00.ogg,地の色は黄色,368897,4190922,368897,4190922,0,0,0.0,0.0
th105,ta01.ogg,甲論乙駁,563848,2915850,563848,2915850,0,0,0.0,0.0
th105,ta03.ogg,風光明媚,354279,2735736,354279,2735736,0,0,0.0,0.0
th105,st01.ogg,香る樹葉花,615502,4603711,615502,4603711,0,0,0.0,0.0
th105,st02.ogg,踊る水飛沫,615494,4603685,615494,4603685,0,0,0.0,0.0
th105,ta05.ogg,以魚駆蠅,657158,2893190,657158,2893190,0,0,0.0,0.0
th105,ta04.ogg,冷吟閑酔,187631,2657236,187631,2657236,0,0,0.0,0.0
th105,st03.ogg,嘲りの遊戯,455266,4424254,455266,4424254,0,0,0.0,0.0
th105,ta08.ogg,放縦不羈,331057,2315561,331057,2315561,0,0,0.0,0.0
th105,ta02.ogg,雲外蒼天,192787,2713040,192787,2713040,0,0,0.0,0.0
th105,st04.ogg,黒い海に紅く　～ Legendary Fish,1282896,8467199,1282896,8467199,0,0,0.0,0.0
th105,ta07.ogg,天衣無縫,455930,3278304,455930,3278304,0,0,0.0,0.0
th105,st05.ogg,有頂天変　～ Wonderful Heaven,346222,5539040,346222,5539040,0,0,0.0,0.0
th105,st06.ogg,幼心地の有頂天,3419075,4470978,3419075,4470978,0,0,0.0,0.0
th105,ta06.ogg,暮色蒼然,431242,3606443,431242,3606443,0,0,0.0,0.0
th105,st10.ogg,東方妖恋談,584623,4030571,584623,4030571,0,0,0.0,0.0
th105,st11.ogg,星の器　～ Casket of Star,440901,4009264,440901,4009264,0,0,0.0,0.0
th105,st12.ogg,フラワリングナイト,931349,4830711,931349,4830711,0,0,0.0,0.0
th105,st13.ogg,ブクレシュティの人形師,634426,4764953,634426,4764953,0,0,0.0,0.0
th105,st14.ogg,広有射怪鳥事　～ Till When？,583253,4203942,583253,4203942,0,0,0.0,0.0
th105,st15.ogg,ラクトガール　～ 少女密室,287071,4291825,287071,4291825,0,0,0.0,0.0
th105,st16.ogg,幽雅に咲かせ、墨染の桜　～ Border of Life,429052,3932739,429052,3932739,0,0,0.0,0.0
th105,st17.ogg,亡き王女の為のセプテット,496981,4377738,496981,4377738,0,0,0.0,0.0
th105,st18.ogg,夜が降りてくる,338811,4118816,338811,4118816,0,0,0.0,0.0
th105,st19.ogg,砕月,401855,4701588,401855,4701588,0,0,0.0,0.0
th105,st20.ogg,狂気の瞳　～ Invisible Full Moon,272715,4144584,272715,4144584,0,0,0.0,0.0
th105,st21.ogg,風神少女,841335,5679737,841335,5679737,0,0,0.0,0.0
th105,st22.ogg,彼岸帰航　～ Riverside View,477572,3969781,477572,3969781,0,0,0.0,0.0
th123,op2.ogg,君はあの影を見たか？,328801,4318964,328801,4318964,0,0,0.0,0.0
th123,select.ogg,萃夢想,176523,4057323,176523,4057323,0,0,0.0,0.0
th123,ta20.ogg,伝説の巨神,929590,2823215,929590,2823215,0,0,0.0,0.0
th123,ta21.ogg,ぼくらの非想天則,300168,3639138,300168,3639138,0,0,0.0,0.0
th123,ta22.ogg,人形のある風景,220354,2722023,220354,2722023,0,0,0.0,0.0
th123,st30.ogg,信仰は儚き人間の為に,748564,4276637,748564,4276637,0,0,0.0,0.0
th123,st31.ogg,おてんば恋娘,544291,3942333,544291,3942333,0,0,0.0,0.0
th123,st32.ogg,上海紅茶館　～ Chinese Tea,397386,4207644,397386,4207644,0,0,0.0,0.0
th123,st33.ogg,霊知の太陽信仰　～ Nuclear Fusion,257150,4020375,257150,4020375,0,0,0.0,0.0
th123,st34.ogg,明日ハレの日、ケの昨日,169085,4030862,169085,4030862,0,0,0.0,0.0
th123,st35.ogg,アンノウンＸ　～ Unfound Adventure,484278,7318519,484278,7318519,0,0,0.0,0.0
th123,st36.ogg,空に浮かぶ物体Ｘ,1617742,2585405,1617742,2585405,0,0,0.0,0.0
th123,st40.ogg,二色蓮花蝶　～ Ancients,126149,4148068,126149,4148068,0,0,0.0,0.0
th123,st41.ogg,恋色マジック,492964,4499760,492964,4499760,0,0,0.0,0.0
th123,st42.ogg,the Grimoire of Alice,615411,4491239,615411,4491239,0,0,0.0,0.0
th123,st43.ogg,ヴワル魔法図書館,765059,4041088,765059,4041088,0,0,0.0,0.0
th123,st99.ogg,東方妖恋談 (世紀末バージョン),291453,1803457,291453,1803457,0,0,0.0,0.0
th135,reimu1.ogg,春色小径　～ Colorful Path,299644,4892689,299644,4892689,0,0,0.0,0.0
th135,marisa1.ogg,メイガスナイト,248349,5540349,248349,5540349,0,0,0.0,0.0
th135,ichirin1.ogg,時代親父とハイカラ少女,88524,4733720,88524,4733720,0,0,0.0,0.0
th135,hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,625902,6158442,625902,6158442,0,0,0.0,0.0
th135,futo1.ogg,大神神話伝,203269,5591492,203269,5591492,0,0,0.0,0.0
th135,miko1.ogg,聖徳伝説　～ True Administrator,1677731,6908193,1677731,6908193,0,0,0.0,0.0
th135,nitori1.ogg,芥川龍之介の河童　～ Candid Friend,476227,5384883,476227,5384883,0,0,0.0,0.0
th135,koishi1.ogg,ハルトマンの妖怪少女,255188,5454829,255188,5454829,0,0,0.0,0.0
th135,mamizou1.ogg,佐渡の二ッ岩,223196,5515396,223196,5515396,0,0,0.0,0.0
th135,chuboss1.ogg,幻想郷の二ッ岩,621687,5630211,621687,5630211,0,0,0.0,0.0
th135,kokoro1.ogg,亡失のエモーション,505673,11561585,505673,11561585,0,0,0.0,0.0
th135,title.ogg,心綺楼囃子,198144,4431746,198144,4431746,0,0,0.0,0.0
th135,kaiwa1.ogg,人気のある場所,120942,2943343,120942,2943343,0,0,0.0,0.0
th135,kaiwa3.ogg,人気のない場所,124999,2947397,124999,2947397,0,0,0.0,0.0
th135,kaiwa5.ogg,丑三つ時の里,401818,2646907,401818,2646907,0,0,0.0,0.0
th135,win.ogg,本日の一面記事,441518,1382305,441518,1382305,0,0,0.0,0.0
th135,ed.ogg,暁雲,152857,3328057,152857,3328057,0,0,0.0,0.0
th135,charasel.ogg,演者選択,328319,3549539,328319,3549539,0,0,0.0,0.0
th135,maxwaza.ogg,ラストワード発動,169593,2015638,169593,2015638,0,0,0.0,0.0
th135,kaiwa4.ogg,(名称未確定),228004,1168823,228004,1168823,0,0,0.0,0.0
th145,reimu1.ogg,二色蓮花蝶　～ Red and White,235822,6115822,235822,6115822,0,0,0.0,0.0
th145,marisa1.ogg,恋色マスタースパーク,604378,6830261,604378,6830261,0,0,0.0,0.0
th145,ichirin1.ogg,時代親父とハイカラ少女,158775,5477186,158775,5477186,0,0,0.0,0.0
th145,hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,823990,6586358,823990,6586358,0,0,0.0,0.0
th145,futo1.ogg,大神神話伝,216837,6322959,216837,6322959,0,0,0.0,0.0
th145,miko1.ogg,聖徳伝説　～ True Administrator,1062240,7138239,1062240,7138239,0,0,0.0,0.0
th145,nitori1.ogg,芥川龍之介の河童　～ Candid Friend,80778,5890051,80778,5890051,0,0,0.0,0.0
th145,koishi1.ogg,ハルトマンの妖怪少女,101331,5339330,101331,5339330,0,0,0.0,0.0
th145,mamizou1.ogg,幻想郷の二ッ岩,105758,5010538,105758,5010538,0,0,0.0,0.0
th145,kokoro1.ogg,亡失のエモーション,606245,10524966,606245,10524966,0,0,0.0,0.0
th145,mokou1.ogg,月まで届け、不死の煙,463123,7720723,463123,7720723,0,0,0.0,0.0
th145,sinmyoumaru1.ogg,輝く針の小人族　～ Little Princess,744857,6601739,744857,6601739,0,0,0.0,0.0
th145,title.ogg,心揺さぶる都市伝説,235005,4204005,235005,4204005,0,0,0.0,0.0
th145,select.ogg,幻想郷ふしぎ発見,259012,2253103,259012,2253103,0,0,0.0,0.0
th145,ta02.ogg,ボールのある日常,578323,2887561,578323,2887561,0,0,0.0,0.0
th145,ta01.ogg,顕現した伝承の形,353476,3175876,353476,3175876,0,0,0.0,0.0
th145,ta04.ogg,時代の風の訪れ,210583,2327373,210583,2327373,0,0,0.0,0.0
th145,ta03.ogg,価値がわからない,93258,2633418,93258,2633418,0,0,0.0,0.0
th145,ta06.ogg,可能性を信じて,327260,3304012,327260,3304012,0,0,0.0,0.0
th145,ta05.ogg,真実を知る者,541304,3133305,541304,3133305,0,0,0.0,0.0
th145,ta07.ogg,外界フォークロア,152645,2723042,152645,2723042,0,0,0.0,0.0
th145,ed.ogg,各々の結末,301386,2795425,301386,2795425,0,0,0.0,0.0
th145,st02_1.ogg,オカルトアラカルト,365065,4780103,365065,4780103,0,0,0.0,0.0
th145,st01_1.ogg,七玉蒐集ショウダウン,314003,5241703,314003,5241703,0,0,0.0,0.0
th145,st03_1.ogg,公正なる奪い合い,524031,4509410,524031,4509410,0,0,0.0,0.0
th145,st04_1.ogg,対蹠地の鐘,643028,4861294,643028,4861294,0,0,0.0,0.0
th145,st05_1.ogg,竹林インフレイム,441397,4674993,441397,4674993,0,0,0.0,0.0
th145,kasen1.ogg,華狭間のバトルフィールド,249077,6723997,249077,6723997,0,0,0.0,0.0
th145,usami1.ogg,ラストオカルティズム　～ 現し世の秘術師,755877,10868244,755877,10868244,0,0,0.0,0.0
th155,155reimu1.ogg,二色蓮花蝶　～ Red and White,235822,6115822,235822,6115822,0,0,0.0,0.0
th155,155marisa1.ogg,恋色マスタースパーク,604378,6830261,604378,6830261,0,0,0.0,0.0
th155,155ichirin1.ogg,時代親父とハイカラ少女,158775,5477186,158775,5477186,0,0,0.0,0.0
th155,155hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,823990,6586358,823990,6586358,0,0,0.0,0.0
th155,155futo1.ogg,大神神話伝,216837,6322959,216837,6322959,0,0,0.0,0.0
th155,155miko1.ogg,聖徳伝説　～ True Administrator,1062240,7138239,1062240,7138239,0,0,0.0,0.0
th155,155nitori1.ogg,芥川龍之介の河童　～ Candid Friend,80778,5890051,80778,5890051,0,0,0.0,0.0
th155,155koishi1.ogg,ハルトマンの妖怪少女,101331,5339330,101331,5339330,0,0,0.0,0.0
th155,155mamizou1.ogg,幻想郷の二ッ岩,105758,5010538,105758,5010538,0,0,0.0,0.0
th155,155kokoro1.ogg,亡失のエモーション,605447,10524099,605447,10524099,0,0,0.0,0.0
th155,155mokou1.ogg,月まで届け、不死の煙,463123,7720723,463123,7720723,0,0,0.0,0.0
th155,155sinmyoumaru1.ogg,輝く針の小人族　～ Little Princess,238721,6207606,238721,6207606,0,0,0.0,0.0
th155,155kasen1.ogg,華狭間のバトルフィールド,580033,6240172,580033,6240172,0,0,0.0,0.0
th155,155usami1.ogg,ラストオカルティズム　～ 現し世の秘術師,501412,5960529,501412,5960529,0,0,0.0,0.0
th155,155udonge1.ogg,狂気の瞳　～ Invisible Full Moon,1530065,6822100,1530065,6822100,0,0,0.0,0.0
th155,155doremy1.ogg,永遠の春夢,882037,8073729,882037,8073729,0,0,0.0,0.0
th155,155tenshi1.ogg,有頂天変　～ Wonderful Heaven,165489,7310086,165489,7310086,0,0,0.0,0.0
th155,155yukari1.ogg,夜が降りてくる　～ Evening Star,240191,5823015,240191,5823015,0,0,0.0,0.0
th155,bgst01.ogg,地の色は黄色　～ Primrose,371162,4193167,371162,4193167,0,0,0.0,0.0
th155,bgst02.ogg,マッシュルーム・ワルツ,434867,4703770,434867,4703770,0,0,0.0,0.0
th155,bgst03.ogg,聖輦船空を往く,397021,4735228,397021,4735228,0,0,0.0,0.0
th155,bgst04.ogg,法力の下の平等,282093,4371383,282093,4371383,0,0,0.0,0.0
th155,bgst05.ogg,恒常不変の参廟祀,537181,4506177,537181,4506177,0,0,0.0,0.0
th155,bgst06.ogg,光輝く天球儀,506632,4197108,506632,4197108,0,0,0.0,0.0
th155,bgst07.ogg,沢の河童の技術力,187507,4175684,187507,4175684,0,0,0.0,0.0
th155,bgst08.ogg,地底に咲く薔薇,343059,4354737,343059,4354737,0,0,0.0,0.0
th155,bgst09.ogg,深緑の狸森にて,340644,4443865,340644,4443865,0,0,0.0,0.0
th155,bgst10.ogg,心綺楼演舞,157314,4106265,157314,4106265,0,0,0.0,0.0
th155,bgst11.ogg,不滅のレッドソウル,687050,4920645,687050,4920645,0,0,0.0,0.0
th155,bgst12.ogg,落日に映える逆さ城,162514,4185492,162514,4185492,0,0,0.0,0.0
th155,bgst13.ogg,千の試練を超えて,1147357,5152110,1147357,5152110,0,0,0.0,0.0
th155,bgst14.ogg,夢世界フォークロア,477334,4911168,477334,4911168,0,0,0.0,0.0
th155,bgst15.ogg,永遠に続く回廊,772357,4741357,772357,4741357,0,0,0.0,0.0
th155,bgst16.ogg,スリープシープパレード,77343,3988825,77343,3988825,0,0,0.0,0.0
th155,bgst17.ogg,至る有頂天,575189,4563366,575189,4563366,0,0,0.0,0.0
th155,midboss.ogg,憑坐は夢と現の間に　～ Necro-Fantasia,516150,6546339,516150,6546339,0,0,0.0,0.0
th155,lastboss.ogg,今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.,752819,11047909,752819,11047909,0,0,0.0,0.0
th155,145st01.ogg,オカルトアトラクト,243791,4658845,243791,4658845,0,0,0.0,0.0
th155,145st02.ogg,ネオ竹林インフレイム,116507,4168196,116507,4168196,0,0,0.0,0.0
th155,145st03.ogg,億万劫の鐘,242274,4652268,242274,4652268,0,0,0.0,0.0
th155,145st04.ogg,アンノウンX　～ Occultly Madness,1924501,8719917,1924501,8719917,0,0,0.0,0.0
th155,story01.ogg,憑依投合,208022,2905903,208022,2905903,0,0,0.0,0.0
th155,story02.ogg,連帯責人,383395,3194770,383395,3194770,0,0,0.0,0.0
th155,story03.ogg,合縁奇縁,132485,2884325,132485,2884325,0,0,0.0,0.0
th155,story04.ogg,異心同体,83140,2894515,83140,2894515,0,0,0.0,0.0
th155,story05.ogg,壮言大語,159402,2911241,159402,2911241,0,0,0.0,0.0
th155,story06.ogg,知略縦横,191909,2970207,191909,2970207,0,0,0.0,0.0
th155,story07.ogg,意気揚々,191537,3190334,191537,3190334,0,0,0.0,0.0
th155,story08.ogg,開演間近,324796,3050974,324796,3050974,0,0,0.0,0.0
th155,story09.ogg,天衣無縫　～ Yellow Lily,464729,3287125,464729,3287125,0,0,0.0,0.0
th155,ending.ogg,行雲流水,235499,3319085,235499,3319085,0,0,0.0,0.0
th155,th155op1.ogg,異変の種子,529564,3837064,529564,3837064,0,0,0.0,0.0
th155,th155op2.ogg,疑惑の芽生え,529614,3837115,529614,3837115,0,0,0.0,0.0
th155,th155op3.ogg,真相へ繋がる枝葉,529607,3837107,529607,3837107,0,0,0.0,0.0
th155,th155op4.ogg,舞い散る憑依華吹雪,529624,3837124,529624,3837124,0,0,0.0,0.0
th175,op.ogg,水没した沈愁地獄,423360,3598560,423360,3598560,0,0,0.0,0.0
th175,talk_ed.ogg,天理人欲,155801,3517777,155801,3517777,0,0,0.0,0.0
th175,talk_forest.ogg,魔法使いの憂鬱,720501,3799481,720501,3799481,0,0,0.0,0.0
th175,talk_underground.ogg,暗闇の風穴,389050,5369757,389050,5369757,0,0,0.0,0.0
th175,talk_town.ogg,旧地獄街道を行く,154303,2138804,154303,2138804,0,0,0.0,0.0
th175,talk_Inferno.ogg,業火マントル,463006,5099036,463006,5099036,0,0,0.0,0.0
th175,talk_reactor.ogg,御柱の墓場,580606,4983550,580606,4983550,0,0,0.0,0.0
th175,talk_oil.ogg,大地の底、剛欲の海,193813,4573435,193813,4573435,0,0,0.0,0.0
th175,talk_waterhell.ogg,不朽の曼珠沙華,911360,4439357,911360,4439357,0,0,0.0,0.0
th175,talk_scarlet.ogg,魔法少女達の百年祭,420120,7237462,420120,7237462,0,0,0.0,0.0
th175,reimu1.ogg,少女綺想曲,1433010,5538318,1433010,5538318,0,0,0.0,0.0
th175,marisa1.ogg,恋色マスタースパーク,240405,4329680,240405,4329680,0,0,0.0,0.0
th175,yamame1.ogg,封じられた妖怪,301276,4815041,301276,4815041,0,0,0.0,0.0
th175,kogasa1.ogg,万年置き傘にご注意を,4501254,9124151,4501254,9124151,0,0,0.0,0.0
th175,murasa1.ogg,キャプテンムラサ,396946,6124758,396946,6124758,0,0,0.0,0.0
th175,kanako1.ogg,神さびた古戦場,1018532,7336655,1018532,7336655,0,0,0.0,0.0
th175,jyoon1.ogg,今宵は飄逸なエゴイスト　～ Egoistic Flowers.,1136692,8171940,1136692,8171940,0,0,0.0,0.0
th175,yuugi1.ogg,華のさかづき大江山,423360,6279840,423360,6279840,0,0,0.0,0.0
th175,utuho1.ogg,霊知の太陽信仰,232332,4802698,232332,4802698,0,0,0.0,0.0
th175,niwatari1.ogg,セラフィックチキン,492995,4880945,492995,4880945,0,0,0.0,0.0
th175,flandre1.ogg,U.N.オーエンは彼女なのか？,652037,6151618,652037,6151618,0,0,0.0,0.0
th175,talk_door.ogg,もうドアには入れない,264479,5688779,264479,5688779,0,0,0.0,0.0
th175,okina1.ogg,秘神マターラ,694596,8286528,694596,8286528,0,0,0.0,0.0
th175,toutetu1.ogg,強欲な獣のメメント,94537,11245622,94537,11245622,0,0,0.0,0.0
th175,toutetu2.ogg,有機体全てのメメント　～ Memory of Fossil Energy.,1322775,11591775,1322775,11591775,0,0,0.0,0.0
