game,index,music_no,title,file,name_src,start,intro_bytes,total_bytes,loop_start,loop_end,loop_bytes,intro_sec,total_sec,loop_sec,rate,ch,bits,title_note
th11,10,10,廃獄ララバイ,th11_12.wav,musiccmt,166593936,708008,31862904,167301944,198456840,31154896,4.014,180.629,176.615,44100,2,16,
th11,11,11,死体旅行　～ Be of good cheer!,th11_13.wav,musiccmt,198456840,542208,17896704,198999048,216353544,17354496,3.074,101.455,98.381,44100,2,16,
th11,12,12,業火マントル,th11_14.wav,musiccmt,216353544,616448,20619264,216969992,236972808,20002816,3.495,116.889,113.395,44100,2,16,
th11,13,13,霊知の太陽信仰　～ Nuclear Fusion,th11_16.wav,musiccmt,236972808,633088,29937152,237605896,266909960,29304064,3.589,169.712,166.123,44100,2,16,
th11,14,14,ラストリモート,th11_15.wav,musiccmt,266909960,1103744,33688704,268013704,300598664,32584960,6.257,190.979,184.722,44100,2,16,
th11,15,15,ハルトマンの妖怪少女,th11_17.wav,musiccmt,300598664,4111616,27210240,304710280,327808904,23098624,23.308,154.253,130.945,44100,2,16,
th11,16,16,地霊達の帰宅,th11_18.wav,musiccmt,327808904,781824,12770304,328590728,340579208,11988480,4.432,72.394,67.962,44100,2,16,
th11,17,17,エネルギー黎明 ～ Future Dream...,th11_19.wav,musiccmt,340579208,5381088,14921664,345960296,355500872,9540576,30.505,84.59,54.085,44100,2,16,
th11,18,,プレイヤーズスコア,th10_17.wav,ini,355500872,1879240,6741184,357380112,362242056,4861944,10.653,38.215,27.562,44100,2,16,
th12,1,1,青空の影,th12_01.wav,musiccmt,16,1015872,10493952,1015888,10493968,9478080,5.759,59.49,53.731,44100,2,16,
th12,2,2,春の湊に,th12_00.wav,musiccmt,10493968,2423040,17719168,12917008,28213136,15296128,13.736,100.449,86.713,44100,2,16,
th12,3,3,小さな小さな賢将,th12_02.wav,musiccmt,28213136,2850304,16859392,31063440,45072528,14009088,16.158,95.575,79.417,44100,2,16,
th12,4,4,閉ざせし雲の通い路,th12_04.wav,musiccmt,45072528,561152,19929600,45633680,65002128,19368448,3.181,112.98,109.798,44100,2,16,
th12,5,5,万年置き傘にご注意を,th12_05.wav,musiccmt,65002128,2422016,24384256,67424144,89386384,21962240,13.73,138.233,124.502,44100,2,16,
th12,6,6,スカイルーイン,th12_07.wav,musiccmt,89386384,1237760,23554816,90624144,112941200,22317056,7.017,133.531,126.514,44100,2,16,
th12,7,7,時代親父とハイカラ少女,th12_08.wav,musiccmt,112941200,1360896,19251712,114302096,132192912,17890816,7.715,109.137,101.422,44100,2,16,
th12,8,8,幽霊客船の時空を越えた旅,th12_09.wav,musiccmt,132192912,634880,25343488,132827792,157536400,24708608,3.599,143.671,140.071,44100,2,16,
th12,9,9,キャプテン・ムラサ,th12_10.wav,musiccmt,157536400,1520512,22688896,159056912,180225296,21168384,8.62,128.622,120.002,44100,2,16,
th12,10,10,魔界地方都市エソテリア,th12_13.wav,musiccmt,180225296,3262976,31157248,183488272,211382544,27894272,18.498,176.628,158.131,44100,2,16,
th12,11,11,虎柄の毘沙門天,th12_14.wav,musiccmt,211382544,5178112,37001600,216560656,248384144,31823488,29.354,209.76,180.405,44100,2,16,
th12,12,12,法界の火,th12_16.wav,musiccmt,248384144,577920,17995904,248962064,266380048,17417984,3.276,102.018,98.741,44100,2,16,
th12,13,13,感情の摩天楼　～ Cosmic Mind,th12_17.wav,musiccmt,266380048,2922228,40541176,269302276,306921224,37618948,16.566,229.825,213.259,44100,2,16,
th12,14,14,夜空のユーフォーロマンス,th12_18.wav,musiccmt,306921224,1290240,32651264,308211464,339572488,31361024,7.314,185.098,177.784,44100,2,16,
th12,15,15,平安のエイリアン,th12_19.wav,musiccmt,339572488,1102848,32792576,340675336,372365064,31689728,6.252,185.899,179.647,44100,2,16,
th12,16,16,妖怪寺,th12_20.wav,musiccmt,372365064,1098800,9568128,373463864,381933192,8469328,6.229,54.241,48.012,44100,2,16,
th12,17,17,空の帰り道　～ Sky Dream,th12_21.wav,musiccmt,381933192,937664,20155168,382870856,402088360,19217504,5.316,114.258,108.943,44100,2,16,
th12,18,,プレイヤーズスコア,th10_17.wav,ini,402088360,1879240,6741184,403967600,408829544,4861944,10.653,38.215,27.562,44100,2,16,
th125,1,1,ニュースハウンド,th125_00.wav,musiccmt,16,3834880,15469568,3834896,15469584,11634688,21.74,87.696,65.956,44100,2,16,
th125,2,2,あなたの町の怪事件,th125_01.wav,musiccmt,15469584,2832576,19693824,18302160,35163408,16861248,16.058,111.643,95.585,44100,2,16,
th125,3,3,妖怪モダンコロニー,th125_03.wav,musiccmt,35163408,2514176,18456320,37677584,53619728,15942144,14.253,104.628,90.375,44100,2,16,
th125,4,4,ネメシスの要塞,th125_04.wav,musiccmt,53619728,1825536,16255360,55445264,69875088,14429824,10.349,92.151,81.802,44100,2,16,
th125,5,5,無間の鐘　～ Infinite Nightmare,th125_05.wav,musiccmt,69875088,5661056,31222400,75536144,101097488,25561344,32.092,176.998,144.906,44100,2,16,
th125,6,6,妖怪の山　～ Mysterious Mountain,th125_06.wav,musiccmt,101097488,2120352,15224352,103217840,116321840,13104000,12.02,86.306,74.286,44100,2,16,
th125,7,,はたてアンロック,th125_07.wav,override,116321840,5178112,9055872,121499952,125377712,3877760,29.354,51.337,21.983,44100,2,16,musiccmt 无条目，取参考表
th128,1,1,春の氷精,th128_07.wav,musiccmt,16,2139424,15595168,2139440,15595184,13455744,12.128,88.408,76.28,44100,2,16,
th128,2,2,可愛い大戦争のリフレーン,th128_00.wav,musiccmt,15595184,2681472,18856960,18276656,34452144,16175488,15.201,106.899,91.698,44100,2,16,
th128,3,3,いたずらに命をかけて,th128_02.wav,musiccmt,34452144,172256,13034144,34624400,47486288,12861888,0.977,73.89,72.913,44100,2,16,
th128,4,4,年中夢中の好奇心,th128_01.wav,musiccmt,47486288,2305600,14927552,49791888,62413840,12621952,13.07,84.623,71.553,44100,2,16,
th128,5,5,真夜中のフェアリーダンス,th128_05.wav,musiccmt,62413840,1901184,21505536,64315024,83919376,19604352,10.778,121.913,111.136,44100,2,16,
th128,6,6,妖精大戦争　～ Fairy Wars,th128_06.wav,override,83919376,565632,18139776,84485008,102059152,17574144,3.207,102.833,99.627,44100,2,16,musiccmt 原文 Faily Wars 为 ZUN 笔误，取 CD 版
th128,7,9,春の氷精　- 静 -,th128_09.wav,musiccmt,102059152,1841920,12345088,103901072,114404240,10503168,10.442,69.983,59.542,44100,2,16,
th128,8,7,ルーズレイン,th128_10.wav,musiccmt,114404240,1154816,28038912,115559056,142443152,26884096,6.547,158.951,152.404,44100,2,16,
th128,9,8,メイガスナイト,th128_11.wav,musiccmt,142443152,819968,23128576,143263120,165571728,22308608,4.648,131.114,126.466,44100,2,16,
th128,10,10,プレイヤーズスコア,th128_08.wav,musiccmt,165571728,1879240,6741184,167450968,172312912,4861944,10.653,38.215,27.562,44100,2,16,
th13,1,1,欲深き霊魂,th13_00.wav,musiccmt,16,3853696,10812928,3853712,10812944,6959232,21.846,61.298,39.451,44100,2,16,
th13,2,2,死霊の夜桜,th13_01.wav,musiccmt,10812944,3044008,19172208,13856952,29985152,16128200,17.256,108.686,91.43,44100,2,16,
th13,3,,死霊の夜桜（霊界トランス）,th13_01b.wav,ini,29985152,1522004,9586104,31507156,39571256,8064100,17.256,108.686,91.43,22050,2,16,
th13,4,3,ゴーストリード,th13_03.wav,musiccmt,39571256,716032,14911744,40287288,54483000,14195712,4.059,84.534,80.475,44100,2,16,
th13,5,,ゴーストリード（霊界トランス）,th13_03b.wav,ini,54483000,358016,7455872,54841016,61938872,7097856,4.059,84.534,80.475,22050,2,16,
th13,6,4,妖怪寺へようこそ,th13_04.wav,musiccmt,61938872,398720,18867776,62337592,80806648,18469056,2.26,106.96,104.7,44100,2,16,
th13,7,,妖怪寺へようこそ（霊界トランス）,th13_04b.wav,ini,80806648,199360,9433888,81006008,90240536,9234528,2.26,106.96,104.7,22050,2,16,
th13,8,5,門前の妖怪小娘,th13_06.wav,musiccmt,90240536,343296,12714688,90583832,102955224,12371392,1.946,72.079,70.133,44100,2,16,
th13,9,,門前の妖怪小娘（霊界トランス）,th13_06b.wav,ini,102955224,171648,6357344,103126872,109312568,6185696,1.946,72.079,70.133,22050,2,16,
th13,10,6,素敵な墓場で暮しましょ,th13_07.wav,musiccmt,109312568,2718496,24583680,112031064,133896248,21865184,15.411,139.363,123.952,44100,2,16,
th13,11,,素敵な墓場で暮しましょ（霊界トランス）,th13_07b.wav,ini,133896248,1359248,12291840,135255496,146188088,10932592,15.411,139.363,123.952,22050,2,16,
th13,12,7,リジッドパラダイス,th13_08.wav,musiccmt,146188088,707904,13650560,146895992,159838648,12942656,4.013,77.384,73.371,44100,2,16,
th13,13,,リジッドパラダイス（霊界トランス）,th13_08b.wav,ini,159838648,353952,6825280,160192600,166663928,6471328,4.013,77.384,73.371,22050,2,16,
th13,14,8,デザイアドライブ,th13_10.wav,musiccmt,166663928,1606144,27550976,168270072,194214904,25944832,9.105,156.185,147.08,44100,2,16,
th13,15,,デザイアドライブ（霊界トランス）,th13_10b.wav,ini,194214904,803072,13775488,195017976,207990392,12972416,9.105,156.185,147.08,22050,2,16,
th13,16,9,古きユアンシェン,th13_11.wav,musiccmt,207990392,1520000,18306944,209510392,226297336,16786944,8.617,103.781,95.164,44100,2,16,
th13,17,,古きユアンシェン（霊界トランス）,th13_11b.wav,ini,226297336,760000,9153472,227057336,235450808,8393472,8.617,103.781,95.164,22050,2,16,
th13,18,10,夢殿大祀廟,th13_12.wav,musiccmt,235450808,275504,20617120,235726312,256067928,20341616,1.562,116.877,115.315,44100,2,16,
th13,19,,夢殿大祀廟（霊界トランス）,th13_12b.wav,ini,256067928,137752,10308560,256205680,266376488,10170808,1.562,116.877,115.315,22050,2,16,
th13,20,11,大神神話伝,th13_15.wav,musiccmt,266376488,661504,26787840,267037992,293164328,26126336,3.75,151.859,148.108,44100,2,16,
th13,21,,大神神話伝（霊界トランス）,th13_15b.wav,ini,293164328,330752,13393920,293495080,306558248,13063168,3.75,151.859,148.108,22050,2,16,
th13,22,12,小さな欲望の星空,th13_16.wav,musiccmt,306558248,2833984,19844512,309392232,326402760,17010528,16.066,112.497,96.432,44100,2,16,
th13,23,,小さな欲望の星空（霊界トランス）,th13_16b.wav,ini,326402760,1416992,9922256,327819752,336325016,8505264,16.066,112.497,96.432,22050,2,16,
